,movie,total_sent_num,avg_dialogue_speed,avg_word_per_sent,genre
0,100earthquake,1610,2.9473540214217078,26.067080745341617,['disaster']
1,2012,1963,2.717890000783366,29.704533876719307,"['disaster', 'scifi']"
2,alitabattleangel,1392,2.713728948525757,24.47485632183908,"['action', 'scifi']"
3,annihilation,1087,2.7233972497177645,24.952161913523458,"['horror', 'scifi']"
4,awalktoremember,1114,1.9903166857873316,23.296229802513466,['romance']
5,billandtedfacethemusic,1706,2.4081612798478225,23.292497069167645,"['comedy', 'scifi']"
6,casinoroyale,1281,2.596327127705437,25.660421545667447,"['action', 'spy']"
7,centralintelligence,2956,3.3869907937892876,24.462449255751014,"['action', 'comedy']"
8,coldskin,584,2.2020056612241756,25.273972602739725,"['horror', 'scifi']"
9,crazyrichasians,1955,2.6992296870690393,28.46445012787724,"['comedy', 'romance']"
10,dayofthedeadbloodline,1079,2.4529309829237294,24.1306765523633,"['action', 'horror']"
11,deepbluesea2,1303,2.538533800674636,26.0,"['horror', 'scifi']"
12,divergent,1532,2.373336789888092,24.503916449086162,"['action', 'scifi']"
13,downsizing,1686,2.8088541298741365,31.49347568208778,"['comedy', 'scifi']"
14,enterthefatdragon,808,2.4785296044024374,39.3279702970297,"['comedy', 'martialarts']"
15,epic,1592,2.1539077303660794,24.676507537688444,"['action', 'adventure']"
16,equals,806,2.3837062695117597,32.95285359801489,"['romance', 'scifi']"
17,extraction,943,2.7275185939237967,19.518557794273594,['action']
18,fastandfurious4,915,2.0754202003083657,27.804371584699453,['action']
19,flood,1494,2.4915991727529065,29.82463186077644,['disaster']
20,forbiddencitycop,560,3.476013955769799,61.56964285714286,"['comedy', 'martialarts']"
21,furious7,1529,3.086533668262102,27.67233485938522,['action']
22,geostorm,1640,2.594632020843475,31.288414634146342,"['disaster', 'scifi']"
23,getsmart,1769,2.8734128952930007,25.656868287167892,"['comedy', 'spy']"
24,goosebumps2hauntedhalloween,1627,2.49556799615444,22.557467732022126,"['comedy', 'horror']"
25,grownups,2495,2.983028778195581,24.162324649298597,['comedy']
26,gulliverstravels,1447,2.463904394731949,25.233586731167932,"['adventure', 'comedy']"
27,hailcaesar,1846,3.1916579383623347,30.75406283856988,['comedy']
28,her,2211,2.544099185981564,25.561736770691994,"['romance', 'scifi']"
29,highrise,1283,2.090352726794598,27.41465315666407,['scifi']
30,holidate,2372,2.7619610287813368,22.014755480607082,"['comedy', 'romance']"
31,home,798,2.1892225352681662,56.37218045112782,"['comedy', 'scifi']"
32,hottubtimemachine,2656,3.1591048245931033,25.710843373493976,"['comedy', 'scifi']"
33,indianajonesandthelastcrusade,1345,2.616397642069658,25.552416356877323,"['action', 'adventure']"
34,intothestorm,2135,2.724293608894077,19.76440281030445,['disaster']
35,iorigins,1450,2.1803911594112826,24.688275862068966,"['romance', 'scifi']"
36,ipman4thefinale,1486,2.4258640424755296,29.240242261103635,"['action', 'martialarts']"
37,jackthegiantslayer,1452,2.267877004683456,22.463498622589533,['adventure']
38,jasonbourne,1077,3.0196998371508736,28.200557103064067,['action']
39,johnnyenglish,1144,2.3266207137317108,32.40034965034965,"['comedy', 'spy']"
40,journeytothewestthedemonsstrikeback,1473,2.4868957941877734,25.249151391717582,"['adventure', 'comedy']"
41,jumanjithenextlevel,2257,2.5685606603134374,20.71422241914045,"['adventure', 'comedy']"
42,jumanjiwelcometothejungle,1861,2.3164570085559535,23.372917786136487,"['adventure', 'comedy']"
43,keepingupwiththejoneses,2696,3.4504145089668152,23.65318991097923,"['action', 'comedy']"
44,kickboxervengeance,466,1.6461924918166868,28.929184549356222,"['action', 'martialarts']"
45,kingsmanthesecretservice,1795,2.617635212765849,30.631197771587743,"['comedy', 'spy']"
46,kungfuhustle,762,2.2072088738131175,22.87270341207349,"['comedy', 'martialarts']"
47,lalaland,1398,2.8920892302744052,28.05793991416309,"['comedy', 'romance']"
48,lastchristmas,2051,2.7376720061038387,26.525597269624573,"['comedy', 'romance']"
49,lifeofpi,1044,2.1391066095429347,30.876436781609197,['adventure']
50,madmaxfuryroad,1041,2.58560405858921,18.181556195965417,"['action', 'scifi']"
51,masterztheipmanlegacy,1189,2.6185966811495964,24.089991589571067,"['action', 'martialarts']"
52,missionimpossible,855,1.840028829140235,28.32982456140351,"['action', 'spy']"
53,missionimpossiblefallout,1608,2.9721395766389107,29.366293532338307,"['action', 'spy']"
54,missionimpossibleroguenation,1398,3.0869817312628625,31.226752503576538,"['action', 'spy']"
55,mortalkombat,835,2.0862045408069796,27.506586826347306,"['action', 'martialarts']"
56,mrandmrssmith,1749,2.5452060201426443,20.81761006289308,"['action', 'comedy']"
57,mrsdoubtfire,2457,2.3699126477239174,23.874236874236875,['comedy']
58,ouija,892,2.9376726031359754,24.858744394618835,['horror']
59,oxygen,1124,2.522829361668389,22.91103202846975,['scifi']
60,passengers,1364,2.732022647134635,24.931818181818183,"['romance', 'scifi']"
61,paul,2282,2.831326493918733,22.144609991235757,"['comedy', 'scifi']"
62,pussinboots,1259,2.052936821287639,27.660047656870532,['adventure']
63,rememberme,1661,2.6187503815324096,23.54665863937387,['romance']
64,rio,1620,2.37344360809262,24.759876543209877,"['adventure', 'comedy']"
65,rushhour2,1663,2.9115664562370176,24.48286229705352,"['comedy', 'martialarts']"
66,sanandreas,1708,2.532589463953828,23.060889929742387,['disaster']
67,schoolofrock,2140,2.5341833369187587,27.089719626168225,['comedy']
68,seafever,1107,2.5330173660677433,21.532068654019874,"['horror', 'scifi']"
69,shaolinsoccer,1251,2.318613054504731,22.81454836131095,"['comedy', 'martialarts']"
70,sharknado,1242,3.3864779141370214,23.120772946859905,"['disaster', 'scifi']"
71,shaunofthedead,1892,2.428218731751352,23.025898520084567,"['comedy', 'horror']"
72,skyline,866,2.2323067911296817,19.475750577367204,"['disaster', 'scifi']"
73,spectre,1228,2.2624695596831206,27.491042345276874,"['action', 'spy']"
74,sputnik,993,3.098275495190081,31.76737160120846,"['horror', 'scifi']"
75,theconjuring,1421,2.807328799814198,23.489795918367346,['horror']
76,thecore,2110,2.9134909353260623,26.554028436018957,"['disaster', 'scifi']"
77,thecurseoflallorona,857,2.273083313166237,19.739789964994166,['horror']
78,thedeaddontdie,1237,1.9836871212406832,26.770412287793047,"['comedy', 'horror']"
79,thediscovery,1396,2.9888629978577863,31.91977077363897,"['romance', 'scifi']"
80,theedgeofseventeen,1705,3.056230019651547,23.822873900293256,['comedy']
81,thefastandthefurioustokyodrift,761,3.3878614745720887,30.491458607095925,['action']
82,thefaultinourstars,2222,2.4557696158937588,25.559405940594058,['romance']
83,thefinalmaster,719,1.9524464309335305,33.00278164116829,"['action', 'martialarts']"
84,thefirstpurge,1466,2.741067460430213,26.76944065484311,"['action', 'horror']"
85,thehungergames,1409,2.3911497607185024,24.47835344215756,"['action', 'scifi']"
86,thekissingbooth,1839,2.8918162847636393,27.017944535073408,"['comedy', 'romance']"
87,themazerunner,1448,2.6309271678445834,22.080801104972377,['scifi']
88,themummy,1307,3.3744203631448233,21.814843152257076,"['action', 'adventure']"
89,themummytombofthedragonemperor,1165,2.810067383951949,27.345922746781117,"['action', 'adventure']"
90,thenotebook,1926,2.7478773271779655,24.648494288681203,['romance']
91,thenun,1037,2.7897768637480027,22.694310511089682,['horror']
92,theperfectstorm,1511,2.610317169148098,23.200529450694905,['disaster']
93,thephotograph,1747,2.93704459007842,23.607326846021753,['romance']
94,thepurgeelectionyear,1546,2.8260158080893305,25.498706338939197,"['action', 'horror']"
95,thering,1110,2.255297735870519,30.062162162162164,['horror']
96,theseventhadventuresofsinbad,695,3.2430941262424486,23.323741007194243,['adventure']
97,thespies,866,2.178864470002511,35.287528868360276,"['comedy', 'spy']"
98,thismeanswar,2498,2.9004253371629964,21.5080064051241,"['comedy', 'spy']"
99,triplefrontier,1650,3.15539955497976,25.795151515151517,"['action', 'adventure']"
100,tronlegacy,1231,2.2533945645912214,25.579203899268887,"['action', 'scifi']"
101,truememoirsofaninternationalassassin,1790,3.2288350243257535,25.444692737430167,"['action', 'comedy']"
102,underwaterbloodwars,955,2.744016963955705,27.51832460732984,"['action', 'horror']"
103,vampireacademy,1876,2.9050351363564237,32.53144989339019,"['comedy', 'horror']"
104,vampiresvsthebronx,1422,3.011839914402688,25.061884669479607,"['comedy', 'horror']"
105,voyagers,1045,2.472963669834433,26.444976076555022,['scifi']
106,womb,533,1.8420636586619712,23.744840525328332,['scifi']
107,worldwarz,1452,2.8161067883251083,24.56404958677686,"['action', 'horror']"
108,zambezia,1351,2.194914666410459,24.203552923760178,['adventure']
109,zoolander2,1591,2.6854142513652755,27.404148334380892,"['action', 'comedy']"
